file	freq	freq_loc	inc_deg	inc_loc	damp	damp_loc
G1_P1_case11.mat	35	3	0	0	0	0
G1_P2_case11.mat	35	3	0	0	0	0
G1_P3_case11.mat	35	3	0	0	0	0
G1_P4_case11.mat	35	3	0	0	0	0
G1_P5_case11.mat	35	3	0	0	0	0
G1_P1_case12.mat	0	0	1	4	0	0
G1_P2_case12.mat	0	0	1	4	0	0
G1_P3_case12.mat	0	0	1	4	0	0
G1_P4_case12.mat	0	0	1	4	0	0
G1_P5_case12.mat	0	0	1	4	0	0
G1_P1_case13.mat	0	0	0	0	1	4
G1_P2_case13.mat	0	0	0	0	1	4
G1_P3_case13.mat	0	0	0	0	1	4
G1_P4_case13.mat	0	0	0	0	1	4
G1_P5_case13.mat	0	0	0	0	1	4
G1_P1_case14.mat	0	0	0	0	0	0
G1_P2_case14.mat	0	0	0	0	0	0
G1_P3_case14.mat	0	0	0	0	0	0
G1_P4_case14.mat	0	0	0	0	0	0
G1_P5_case14.mat	0	0	0	0	0	0
G1_P1_case15.mat	30	6	4	4	0	0
G1_P2_case15.mat	30	6	4	4	0	0
G1_P3_case15.mat	30	6	4	4	0	0
G1_P4_case15.mat	30	6	4	4	0	0
G1_P5_case15.mat	30	6	4	4	0	0
G1_P1_case16.mat	30	6	0	0	1	4
G1_P2_case16.mat	30	6	0	0	1	4
G1_P3_case16.mat	30	6	0	0	1	4
G1_P4_case16.mat	30	6	0	0	1	4
G1_P5_case16.mat	30	6	0	0	1	4
G2_P1_case21.mat	40	5	0	0	0	0
G2_P2_case21.mat	40	5	0	0	0	0
G2_P3_case21.mat	40	5	0	0	0	0
G2_P4_case21.mat	40	5	0	0	0	0
G2_P5_case21.mat	40	5	0	0	0	0
G2_P1_case22.mat	0	0	2	5	0	0
G2_P2_case22.mat	0	0	2	5	0	0
G2_P3_case22.mat	0	0	2	5	0	0
G2_P4_case22.mat	0	0	2	5	0	0
G2_P5_case22.mat	0	0	2	5	0	0
G2_P1_case23.mat	0	0	0	0	1	5
G2_P2_case23.mat	0	0	0	0	1	5
G2_P3_case23.mat	0	0	0	0	1	5
G2_P4_case23.mat	0	0	0	0	1	5
G2_P5_case23.mat	0	0	0	0	1	5
G2_P1_case24.mat	0	0	0	0	0	0
G2_P2_case24.mat	0	0	0	0	0	0
G2_P3_case24.mat	0	0	0	0	0	0
G2_P4_case24.mat	0	0	0	0	0	0
G2_P5_case24.mat	0	0	0	0	0	0
G2_P1_case25.mat	35	6	4	5	0	0
G2_P2_case25.mat	35	6	4	5	0	0
G2_P3_case25.mat	35	6	4	5	0	0
G2_P4_case25.mat	35	6	4	5	0	0
G2_P5_case25.mat	35	6	4	5	0	0
G2_P1_case26.mat	35	6	0	0	1	5
G2_P2_case26.mat	35	6	0	0	1	5
G2_P3_case26.mat	35	6	0	0	1	5
G2_P4_case26.mat	35	6	0	0	1	5
G2_P5_case26.mat	35	6	0	0	1	5
G3_P1_case31.mat	45	2	0	0	0	0
G3_P2_case31.mat	45	2	0	0	0	0
G3_P3_case31.mat	45	2	0	0	0	0
G3_P4_case31.mat	45	2	0	0	0	0
G3_P5_case31.mat	45	2	0	0	0	0
G3_P1_case32.mat	0	0	3	4	0	0
G3_P2_case32.mat	0	0	3	4	0	0
G3_P3_case32.mat	0	0	3	4	0	0
G3_P4_case32.mat	0	0	3	4	0	0
G3_P5_case32.mat	0	0	3	4	0	0
G3_P1_case33.mat	0	0	0	0	1	6
G3_P2_case33.mat	0	0	0	0	1	6
G3_P3_case33.mat	0	0	0	0	1	6
G3_P4_case33.mat	0	0	0	0	1	6
G3_P5_case33.mat	0	0	0	0	1	6
G3_P1_case34.mat	0	0	0	0	0	0
G3_P2_case34.mat	0	0	0	0	0	0
G3_P3_case34.mat	0	0	0	0	0	0
G3_P4_case34.mat	0	0	0	0	0	0
G3_P5_case34.mat	0	0	0	0	0	0
G3_P1_case35.mat	40	6	4	4	0	0
G3_P2_case35.mat	40	6	4	4	0	0
G3_P3_case35.mat	40	6	4	4	0	0
G3_P4_case35.mat	40	6	4	4	0	0
G3_P5_case35.mat	40	6	4	4	0	0
G3_P1_case36.mat	40	6	0	0	1	4
G3_P2_case36.mat	40	6	0	0	1	4
G3_P3_case36.mat	40	6	0	0	1	4
G3_P4_case36.mat	40	6	0	0	1	4
G3_P5_case36.mat	40	6	0	0	1	4
G4_P1_case41.mat	50	3	0	0	0	0
G4_P2_case41.mat	50	3	0	0	0	0
G4_P3_case41.mat	50	3	0	0	0	0
G4_P4_case41.mat	50	3	0	0	0	0
G4_P5_case41.mat	50	3	0	0	0	0
G4_P1_case42.mat	0	0	4	5	0	0
G4_P2_case42.mat	0	0	4	5	0	0
G4_P3_case42.mat	0	0	4	5	0	0
G4_P4_case42.mat	0	0	4	5	0	0
G4_P5_case42.mat	0	0	4	5	0	0
G4_P1_case43.mat	0	0	0	0	1	4
G4_P2_case43.mat	0	0	0	0	1	4
G4_P3_case43.mat	0	0	0	0	1	4
G4_P4_case43.mat	0	0	0	0	1	4
G4_P5_case43.mat	0	0	0	0	1	4
G4_P1_case44.mat	0	0	0	0	0	0
G4_P2_case44.mat	0	0	0	0	0	0
G4_P3_case44.mat	0	0	0	0	0	0
G4_P4_case44.mat	0	0	0	0	0	0
G4_P5_case44.mat	0	0	0	0	0	0
G4_P1_case45.mat	45	6	4	5	0	0
G4_P2_case45.mat	45	6	4	5	0	0
G4_P3_case45.mat	45	6	4	5	0	0
G4_P4_case45.mat	45	6	4	5	0	0
G4_P5_case45.mat	45	6	4	5	0	0
G4_P1_case46.mat	45	6	0	0	1	5
G4_P2_case46.mat	45	6	0	0	1	5
G4_P3_case46.mat	45	6	0	0	1	5
G4_P4_case46.mat	45	6	0	0	1	5
G4_P5_case46.mat	45	6	0	0	1	5
G5_P1_case51.mat	35	5	0	0	0	0
G5_P2_case51.mat	35	5	0	0	0	0
G5_P3_case51.mat	35	5	0	0	0	0
G5_P4_case51.mat	35	5	0	0	0	0
G5_P5_case51.mat	35	5	0	0	0	0
G5_P1_case52.mat	0	0	5	4	0	0
G5_P2_case52.mat	0	0	5	4	0	0
G5_P3_case52.mat	0	0	5	4	0	0
G5_P4_case52.mat	0	0	5	4	0	0
G5_P5_case52.mat	0	0	5	4	0	0
G5_P1_case53.mat	0	0	0	0	1	5
G5_P2_case53.mat	0	0	0	0	1	5
G5_P3_case53.mat	0	0	0	0	1	5
G5_P4_case53.mat	0	0	0	0	1	5
G5_P5_case53.mat	0	0	0	0	1	5
G5_P1_case54.mat	0	0	0	0	0	0
G5_P2_case54.mat	0	0	0	0	0	0
G5_P3_case54.mat	0	0	0	0	0	0
G5_P4_case54.mat	0	0	0	0	0	0
G5_P5_case54.mat	0	0	0	0	0	0
G5_P1_case55.mat	50	6	4	4	0	0
G5_P2_case55.mat	50	6	4	4	0	0
G5_P3_case55.mat	50	6	4	4	0	0
G5_P4_case55.mat	50	6	4	4	0	0
G5_P5_case55.mat	50	6	4	4	0	0
G5_P1_case56.mat	50	6	0	0	1	4
G5_P2_case56.mat	50	6	0	0	1	4
G5_P3_case56.mat	50	6	0	0	1	4
G5_P4_case56.mat	50	6	0	0	1	4
G5_P5_case56.mat	50	6	0	0	1	4
G6_P1_case61.mat	40	2	0	0	0	0
G6_P2_case61.mat	40	2	0	0	0	0
G6_P3_case61.mat	40	2	0	0	0	0
G6_P4_case61.mat	40	2	0	0	0	0
G6_P5_case61.mat	40	2	0	0	0	0
G6_P1_case62.mat	0	0	5	5	0	0
G6_P2_case62.mat	0	0	5	5	0	0
G6_P3_case62.mat	0	0	5	5	0	0
G6_P4_case62.mat	0	0	5	5	0	0
G6_P5_case62.mat	0	0	5	5	0	0
G6_P1_case63.mat	0	0	0	0	1	6
G6_P2_case63.mat	0	0	0	0	1	6
G6_P3_case63.mat	0	0	0	0	1	6
G6_P4_case63.mat	0	0	0	0	1	6
G6_P5_case63.mat	0	0	0	0	1	6
G6_P1_case64.mat	0	0	0	0	0	0
G6_P2_case64.mat	0	0	0	0	0	0
G6_P3_case64.mat	0	0	0	0	0	0
G6_P4_case64.mat	0	0	0	0	0	0
G6_P5_case64.mat	0	0	0	0	0	0
G6_P1_case65.mat	30	6	4	5	0	0
G6_P2_case65.mat	30	6	4	5	0	0
G6_P3_case65.mat	30	6	4	5	0	0
G6_P4_case65.mat	30	6	4	5	0	0
G6_P5_case65.mat	30	6	4	5	0	0
G6_P1_case66.mat	30	6	0	0	1	5
G6_P2_case66.mat	30	6	0	0	1	5
G6_P3_case66.mat	30	6	0	0	1	5
G6_P4_case66.mat	30	6	0	0	1	5
G6_P5_case66.mat	30	6	0	0	1	5
G7_P1_case71.mat	45	3	0	0	0	0
G7_P2_case71.mat	45	3	0	0	0	0
G7_P3_case71.mat	45	3	0	0	0	0
G7_P4_case71.mat	45	3	0	0	0	0
G7_P5_case71.mat	45	3	0	0	0	0
G7_P1_case72.mat	0	0	4	4	0	0
G7_P2_case72.mat	0	0	4	4	0	0
G7_P3_case72.mat	0	0	4	4	0	0
G7_P4_case72.mat	0	0	4	4	0	0
G7_P5_case72.mat	0	0	4	4	0	0
G7_P1_case73.mat	0	0	0	0	1	4
G7_P2_case73.mat	0	0	0	0	1	4
