file,segment,rms_acc,peak_acc,rms_vel,peak_vel,inc_deg,inc_loc,damp,damp_loc
G0_P5_case_perfect.mat,1,0.188105495937964,0.645079117406391,0.0343671613810675,0.0809796320432315,0,0,0,0
G0_P5_case_perfect.mat,2,0.163366392403319,0.523699867164848,0.0387240021910596,0.0823994416523749,0,0,0,0
G0_P5_case_perfect.mat,3,0.0862634368085503,0.330847049241777,0.0493144223609807,0.0857299013933625,0,0,0,0
G0_P5_case_perfect.mat,4,0.047640107834344,0.113682530975933,0.0464707789366816,0.0812548325986303,0,0,0,0
G0_P5_case_perfect.mat,5,0.0487545718713812,0.118028409441756,0.0514964221416296,0.0885835052338475,0,0,0,0
G0_P5_case_perfect.mat,6,0.0468381620819486,0.0867556526392811,0.0498531820894702,0.0845591885238191,0,0,0,0
G0_P5_case_perfect.mat,7,0.045756032061053,0.0964980911987821,0.0481102448442238,0.0821278921308619,0,0,0,0
G0_P5_case_perfect.mat,8,0.0705244850187715,0.226431018294445,0.0513216965424348,0.107903515504066,0,0,0,0
G0_P5_case_perfect.mat,9,0.169970539827999,0.886786660999441,0.0617178425498984,0.0873545562183665,0,0,0,0
G0_P5_case_perfect.mat,10,0.0672906789367917,0.315133353678886,0.0404657939436798,0.0728481108942216,0,0,0,0
G0_P5_case_perfect.mat,11,0.0429132848528414,0.146891523047019,0.0453261993370095,0.078537432564377,0,0,0,0
G0_P5_case_perfect.mat,12,0.0527681809279717,0.134847592945678,0.0442662533921512,0.0770751002447408,0,0,0,0
G0_P5_case_perfect.mat,13,0.124345211343362,0.442406203769701,0.0451049741802902,0.0800484019699312,0,0,0,0
G0_P5_case_perfect.mat,14,0.236967510859878,0.627847172718307,0.0414402165939051,0.0716147285776414,0,0,0,0
G0_P5_case_perfect.mat,15,0.0737680270420711,0.443475011243019,0.0447917823345345,0.0745776285775801,0,0,0,0
G0_P5_case_perfect.mat,16,0.0356566377017155,0.0819371118291869,0.0389535620860361,0.0669655488600426,0,0,0,0
G0_P5_case_perfect.mat,17,0.040400218551017,0.119620638768213,0.0387357149385614,0.0661777794175634,0,0,0,0
